team,champion_count,champion_pct,runner_up_count,runner_up_pct
Spain,416,41.6,48,4.8
England,157,15.7,45,4.5
France,134,13.4,241,24.1
Netherlands,72,7.2,153,15.3
Belgium,63,6.3,106,10.6
Japan,55,5.5,82,8.2
Germany,53,5.3,102,10.2
Portugal,50,5.0,90,9.0
Cape Verde,0,0.0,0,0.0
Algeria,0,0.0,0,0.0
Australia,0,0.0,7,0.7
Argentina,0,0.0,0,0.0
Austria,0,0.0,0,0.0
Bosnia and Herzegovina,0,0.0,0,0.0
Brazil,0,0.0,4,0.4
Canada,0,0.0,4,0.4
Egypt,0,0.0,0,0.0
Ecuador,0,0.0,0,0.0
DR Congo,0,0.0,0,0.0
Czech Republic,0,0.0,0,0.0
Curaçao,0,0.0,0,0.0
Croatia,0,0.0,0,0.0
Colombia,0,0.0,0,0.0
Iran,0,0.0,3,0.3
Ivory Coast,0,0.0,0,0.0
Iraq,0,0.0,0,0.0
Mexico,0,0.0,23,2.3
Jordan,0,0.0,0,0.0
Morocco,0,0.0,7,0.7
New Zealand,0,0.0,0,0.0
Haiti,0,0.0,2,0.2
Ghana,0,0.0,0,0.0
Panama,0,0.0,0,0.0
Norway,0,0.0,0,0.0
Qatar,0,0.0,0,0.0
Paraguay,0,0.0,0,0.0
Scotland,0,0.0,3,0.3
Senegal,0,0.0,0,0.0
South Africa,0,0.0,0,0.0
Saudi Arabia,0,0.0,0,0.0
South Korea,0,0.0,27,2.7
Sweden,0,0.0,0,0.0
Switzerland,0,0.0,31,3.1
Tunisia,0,0.0,0,0.0
Turkey,0,0.0,5,0.5
United States,0,0.0,17,1.7
Uruguay,0,0.0,0,0.0
Uzbekistan,0,0.0,0,0.0
